frame,rgba_diff_pixels,rgba_exact_ratio,alpha_diff_pixels,alpha_exact_ratio,r_mae,g_mae,b_mae,a_mae,r_max,g_max,b_max,a_max,black_mae,black_max,paper_mae,paper_max
32,49261,0.9577666323731139,6126,0.9947479423868313,0.0496184842249657,0.046834705075445814,0.06452160493827161,0.006435185185185185,7,6,8,4,0.02171953589391861,8,0.018047267946959305,8
33,49261,0.9577666323731139,6126,0.9947479423868313,0.04960905349794239,0.0468252743484225,0.06451217421124829,0.006435185185185185,7,6,8,4,0.021722965249199817,8,0.0180438385916781,8
34,152384,0.869355281207133,12281,0.9894710219478738,0.20963906035665295,0.19786694101508917,0.2834619341563786,0.032210219478738,55,55,58,85,0.1004461019661637,82,0.08301154549611339,58
35,410764,0.6478360768175583,9889,0.9915217764060357,0.46171296296296294,0.4473405349794239,0.548369341563786,0.03401663237311386,102,101,106,99,0.11968764288980338,99,0.1067938385916781,97
36,276000,0.7633744855967078,14957,0.9871767832647462,0.35204646776406034,0.3176740397805213,0.4589934842249657,0.03308384773662552,57,56,59,56,0.11520890489254687,55,0.0981432898948331,56
37,273148,0.7658196159122085,14837,0.9872796639231824,0.3496639231824417,0.3152143347050754,0.4529938271604938,0.03286093964334705,57,56,59,56,0.11489083219021491,52,0.09793781435756745,51
38,438509,0.6240492112482854,23799,0.9795961934156379,0.5109833676268861,0.4883247599451303,0.7122410836762688,0.06556155692729766,61,61,56,85,0.1617198216735254,77,0.1408021833561957,58
39,437752,0.6246982167352537,23082,0.9802109053497943,0.5698705418381345,0.5377683470507545,0.7430461248285323,0.07326131687242798,100,101,105,102,0.20924982853223595,85,0.18479623914037493,92
40,111767,0.9041778120713306,10882,0.990670438957476,0.11361282578875172,0.10585219478737998,0.14335219478737998,0.011875,8,7,11,9,0.04742541152263374,11,0.0428998056698674,11
41,413757,0.6452700617283951,23700,0.9796810699588477,0.5771536351165981,0.5652563443072702,0.7094050068587106,0.08066529492455418,111,109,107,89,0.25243941472336534,89,0.22404006630086876,83
42,396703,0.6598911179698217,23673,0.9797042181069959,0.5562405692729767,0.5430255486968449,0.6893269890260632,0.07750514403292182,94,94,96,76,0.2485693872885231,73,0.22173496799268405,71
43,403028,0.6544684499314128,25117,0.9784662208504801,0.6204989711934157,0.576213134430727,0.7615337791495199,0.08880658436213992,102,102,99,89,0.2957776063100137,91,0.2628403635116598,90
44,370566,0.6822993827160494,30662,0.9737122770919068,0.5262302812071331,0.47036008230452675,0.6475437242798354,0.07876886145404664,65,65,63,79,0.2417624028349337,82,0.2128012117055327,59
45,415171,0.6440577846364883,33811,0.9710125171467764,0.6900857338820302,0.6516057956104252,0.83772719478738,0.1118269890260631,104,104,104,109,0.36809756515775033,104,0.32633087562871516,97
46,450030,0.6141718106995885,42319,0.9637182784636489,0.7047548010973936,0.6438605967078189,0.8643998628257887,0.12454132373113855,73,73,73,81,0.36385631001371743,77,0.320214906264289,62
47,448551,0.6154398148148148,45344,0.9611248285322359,0.8380289780521262,0.7677323388203018,0.9662251371742112,0.14959104938271606,76,76,78,88,0.5046444901691816,83,0.44805326931870143,74
48,157344,0.8651028806584362,22310,0.9808727709190672,0.1788434499314129,0.15280092592592592,0.20349965706447187,0.02424897119341564,11,7,12,8,0.1150505829903978,12,0.10534436442615455,12
49,452821,0.6117789780521262,47721,0.9590869341563786,0.8886531207133059,0.8186814128943759,1.0144864540466392,0.155,95,95,95,102,0.5866618084133516,92,0.5186934156378601,86
50,554591,0.5245276063100137,65140,0.9441529492455418,1.068036694101509,0.9669178669410151,1.2123088134430726,0.17941015089163237,73,69,60,87,0.7554895404663923,78,0.685185470964792,65
51,571834,0.5097445130315501,62694,0.94625,1.2708967764060357,1.1232167352537723,1.4204483882030179,0.20343792866941016,63,65,67,86,0.9852940672153635,84,0.9054072359396433,66
52,546104,0.5318038408779149,62814,0.9461471193415638,1.235943072702332,1.088326474622771,1.3828557956104253,0.1842815500685871,57,54,58,64,0.9669150091449474,59,0.896269718792867,62
53,552657,0.5261856995884774,67663,0.9419898834019205,1.2701826131687244,1.1372522290809328,1.4217969821673526,0.21455504115226337,87,82,81,83,1.0466786694101509,70,0.9645704732510288,66
54,531478,0.5443432784636488,56015,0.9519761659807956,1.149275548696845,1.0136899862825788,1.286784122085048,0.15549125514403292,66,66,65,80,0.9467986968449932,71,0.8848145290352081,62
55,501413,0.570119170096022,57452,0.950744170096022,1.2526551783264745,1.1151157407407408,1.385551268861454,0.18287037037037038,83,79,71,88,1.122664609053498,76,1.0516240855052583,66
56,264890,0.7728995198902606,21612,0.9814711934156378,0.29353566529492453,0.25410065157750344,0.3243347050754458,0.02332733196159122,10,6,11,8,0.2645747599451303,11,0.2546724965706447,11
57,264890,0.7728995198902606,21612,0.9814711934156378,0.29353566529492453,0.25410065157750344,0.3243347050754458,0.02332733196159122,10,6,11,8,0.2645747599451303,11,0.2546724965706447,11
58,468801,0.5980787037037036,36526,0.968684842249657,1.0605409807956103,0.9300394375857339,1.1901423182441702,0.11936042524005487,45,42,48,81,1.0014603337905807,72,0.9361165409236397,48
59,571784,0.5097873799725652,34593,0.9703420781893004,1.348449074074074,1.194056927297668,1.4812980109739369,0.13122256515775035,77,75,76,88,1.2009987997256515,88,1.1434839391860996,77
60,528727,0.546701817558299,24443,0.9790440672153635,0.9607475994513032,0.808886316872428,1.0886351165980797,0.05964248971193416,49,49,49,59,0.8240789323273892,53,0.7996804983996342,49
61,490401,0.5795601851851853,16776,0.9856172839506173,1.1601868998628257,0.9759885116598079,1.2370944787379972,0.05074845679012346,74,72,73,73,1.0583247599451304,68,1.0379452446273434,59
62,547990,0.5301868998628259,13698,0.9882561728395062,1.109690500685871,0.9698748285322359,1.2730332647462277,0.03763888888888889,54,46,54,70,1.0247319387288523,64,1.0087205647005029,54
63,547201,0.530863340192044,13623,0.9883204732510288,1.1085133744855966,0.967253086419753,1.2677229080932784,0.03707304526748971,44,45,54,66,1.022993827160494,63,1.0073602537722908,54
64,304903,0.7385948216735254,6508,0.994420438957476,0.3226929012345679,0.28377486282578873,0.3572222222222222,0.00714420438957476,8,6,11,5,0.29922953818015546,11,0.2963908893461363,11
65,823665,0.2938400205761317,9214,0.9921004801097394,1.8666289437585735,1.6805306927297667,2.1091709533607683,0.028069272976680385,54,58,54,92,1.7749096936442617,69,1.7649076931870142,54
66,911110,0.2188700274348423,7804,0.9933093278463648,1.7996201989026064,1.576446330589849,2.062383401920439,0.02054355281207133,78,73,70,81,1.7598828303612255,66,1.7538891746684957,66
67,909792,0.21999999999999997,7762,0.9933453360768175,1.7978309327846365,1.574102366255144,2.0598859739369,0.01980281207133059,78,73,70,51,1.7588031550068588,54,1.752900377229081,63
68,975379,0.16376971879286695,1194,0.9989763374485596,1.6915543552812071,1.4510305212620027,1.963943758573388,0.0029483882030178327,50,49,53,40,1.7025382944673069,53,1.7023874028349337,53
69,1005856,0.13764060356652952,1074,0.9990792181069958,1.9997205075445816,1.7731087105624144,2.2974725651577503,0.003177297668038409,71,70,71,36,2.023841735253772,71,2.0237385688157294,71
70,893466,0.23399691358024688,3895,0.9966606652949246,1.4044521604938272,1.2113846021947874,1.6362037037037036,0.01079389574759945,61,64,75,64,1.4191623799725652,75,1.4175683013260174,75
71,864145,0.25913494513031554,44,0.9999622770919068,1.2793098422496572,1.093440500685871,1.4263777434842249,0.00010973936899862826,68,68,66,18,1.266413465935071,68,1.2663783150434385,68
72,231717,0.8013400205761316,22,0.9999811385459534,0.23957990397805212,0.22236196844993142,0.2529209533607682,0.000023148148148148147,8,6,8,2,0.2383073273891175,8,0.2382881801554641,8
73,812393,0.30350394375857337,5,0.9999957133058985,1.0134362139917696,0.8995216049382716,1.191872427983539,0.000012860082304526749,31,32,32,10,1.0349542752629173,32,1.0349425582990397,32
74,834802,0.2842918381344307,15362,0.986829561042524,1.0858084705075446,0.9747290809327847,1.16892061042524,0.04200017146776406,49,50,52,47,1.0935862482853222,52,1.0754566758116142,52
